Tijdstempel;What programme are you in?;Have you taken a course on machine learning?;Have you taken a course on information retrieval?;Have you taken a course on statistics?;Have you taken a course on databases?;What is your gender?;Chocolate makes you.....;When is your birthday (date)?;Number of neighbors sitting around you?;Did you stand up?;What is your stress level (0-100)?;You can get 100 euros if you win a local DM competition, or we don’t hold any competitions and I give everyone some money (not the same amount!). How much do you think you would deserve then? ;Give a random number;Time you went to be Yesterday;What makes a good day for you (1)?;What makes a good day for you (2)?
4-5-2022 12:12:07;artificial intelligence;yes;0;mu;nee;female;neither;02.05.1998;0;no;0;5;888;23:00;coffee;sun
4-5-2022 12:12:07;big data;yes;0;mu;nee;male;fat;29-02-2000;0;yes;200;1;12;32;7777;8964
4-5-2022 12:12:09;Computational  Science;yes;1;mu;ja;male;fat;29-06-1998;1;no;0;100;9;x;0;0
4-5-2022 12:12:09;Bioinformatics and Systems Biology;yes;0;unknown;nee;male;neither;11/05/97;0;no;20;100;31;14:00;good food;no stress
4-5-2022 12:12:15;AI;yes;1;mu;ja;male;fat;03-10-1997;0;no;2;100;86;07:20;Sunshine;Good Food
4-5-2022 12:12:20;Artificial Intelligence;no;unknown;sigma;unknown;female;fat;28;0;no;48;1000;87;2130;This lecture;Sun
4-5-2022 12:12:26;Artificial Intelligence ;yes;0;unknown;nee;male;neither;15.10.98;1;no;20;0.1;6;00:35;sunshine;happiness
4-5-2022 12:12:29;M Artificial Intelligence;yes;0;unknown;ja;male;neither;17 November;0;no;100;10;50;23;Rainy Day;Weekend
4-5-2022 12:12:29;FinTech;yes;0;mu;ja;male;neither;1995;0;no;20;100 / the number of people;42;23:00;Food;Relaxation
4-5-2022 12:12:29;Artificial Intelligence;no;0;mu;ja;female;fat;21-07-2000;5;yes;50;10;88;12 hours;pa;relaxing, watching a show, hockey
4-5-2022 12:12:31;Artificial Intelligence MsC;no;0;mu;nee;male;I have no idea what you are talking about;29-05-1998;0;no;60;1000;1;Banana;Coffee;Not coffee
4-5-2022 12:12:32;Business analytics;yes;1;unknown;ja;female;fat;05-03;0;no;50;0.1;56;00:00;sun;holiday
4-5-2022 12:12:34;ai;yes;1;mu;ja;male;I have no idea what you are talking about;0102;0;no;5000;100;7;to be?;drugs;beer
4-5-2022 12:12:36;programme?;no;0;mu;nee;male;fat;19/10/1982;0;yes;65;100;8;00:00;Good sleep;Good work
4-5-2022 12:12:42;Masters in Artificial Intelligence;yes;0;mu;ja;male;fat;22/02/1999;0;yes;70;100;420;12:00;Good mental state.;A challenge.
4-5-2022 12:12:50;Msc. Information Studies Data Science Track UVA ;yes;1;mu;ja;male;neither;23/7;-4;unknown;over 9000;1000;42;4 years ago;6;9
4-5-2022 12:12:51;Artificial Intelligence;no;0;sigma;nee;male;slim;august;5;no;98;87;6;noon;food;sleeping
4-5-2022 12:12:57;Artificial Intelligence;no;unknown;mu;ja;female;fat;11-11-1999;0;no;34;5;88;12:55;Having a fun lecture;Hanging out with my friends
4-5-2022 12:13:04;AI;yes;0;mu;ja;male;fat;22-04-1994;1;no;70;1/n;22;12;Flat white;sun
4-5-2022 12:13:08;Econometrics and Operational Research;yes;0;mu;nee;male;fat;30.01.1997;0;no;15;0;17;12;food;tv series
4-5-2022 12:13:11;Finance and Technology;yes;0;mu;nee;male;I have no idea what you are talking about;1999/08/23;11;yes;60;100;0;20:00;sun;good food
4-5-2022 12:13:14;Computer science;yes;1;unknown;ja;female;I have no idea what you are talking about;10.07.1998;3;no;1000;at least 10;12;definitely 7;sun;wind:(
4-5-2022 12:13:15;AI;unknown;0;mu;nee;female;fat;03-11-1995;0;unknown;10;100;800039995;03:00;Friends;Water
4-5-2022 12:13:15;AI;yes;1;mu;ja;female;neither;08-05-1998;0;no;90;10;72;Ja;Happy;Faces
4-5-2022 12:13:15;Bioinformatics and Systems Biology;yes;0;mu;ja;male;I have no idea what you are talking about;Ah;2;no;1;5€;27;2.30AM;See you smile;Monk
4-5-2022 12:13:16;Business Analytics;yes;unknown;mu;nee;female;fat;30-03-1998;0;no;70;55;31;Yellow;Having my favorite meal :);Getting enough sleep
4-5-2022 12:13:16;Computational Science;no;0;mu;ja;male;I have no idea what you are talking about;01-09-1998;1;no;56;The price of Febo kroketje;6.98;23:32;Head;Good weather
4-5-2022 12:13:18;Computational Science;yes;0;mu;nee;female;neither;07-09-1997;1;no;69;0;6;?;A good balance between productivity and rest;A good night of sleep
4-5-2022 12:13:19;chrome;yes;0;sigma;ja;female;fat;02/07/1997;2;yes;79;55;11;12;Movies;Coffee
